id,reg,car_description,car_make_model,road_tax_status,mot_status,exported,average,engine,EngineLitres,EuroStatus,FuelType,KeeperStartDate,LastMOTMileage,LastV5CIssueDate,MOT,MileageIssues,ModelDescription,ModelVariant,PrimaryColour,RegistrationDate,RegistrationPlace,Status,Tax12MonthsCost,Tax6MonthsCost,Transmission,TypeApproval,VehicleAge,WheelPlan,YearManufacture,isSold,co2,manufacturer,mileage,sell,created_on,car_order,taxDueDate,motExpiryDate,carViews
131,WU60ZNK,,HYUNDAI,Untaxed,Valid,,0,1248,,,PETROL,,,2024-10-09,,,I20 CLASSIC,,RED,2010-09,,,,,,M1,,2 AXLE RIGID BODY,2010,1,124,HYUNDAI,109247,1200,2024-10-09 06:09:58,,2024-09-20,2025-09-01,0
132,CA15BJX,,KIA,Taxed,Valid,,0,1582,,,DIESEL,,,2024-10-07,,,PRO CEED SE ECODYNAMICS CRDI,,RED,2015-05,,,,,,M1,,2 AXLE RIGID BODY,2015,1,112,KIA,128162,3000,2024-10-09 07:28:42,,2025-10-01,2025-07-03,0
133,WX63NPU,,KIA,Taxed,Valid,,0,1582,,,DIESEL,,,2019-07-16,,,SOUL SHAKER CRDI,,BLACK,2013-09,,,,,,M1,,2 AXLE RIGID BODY,2013,1,129,KIA,60000,3995,2024-10-10 05:58:33,,2025-04-01,2025-06-06,0
151,DK07LHE,,VOLKSWAGEN,Untaxed,Valid,,0,1968,,,DIESEL,,,2022-08-07,,,,,PURPLE,2007-07,,,,,,M1,,2 AXLE RIGID BODY,2007,1,177,VOLKSWAGEN,73000,2995,2024-10-24 09:46:55,,2022-08-31,2025-08-23,0
152,OV14ZVM,,JOHN DEERE,Untaxed,No details held by DVLA,1,0,6788,,,DIESEL,,,2019-04-15,,,6150R,,GREEN,2014-08,,,,,,T5,,2 AXLE RIGID BODY,2014,1,0,JOHN DEERE,7483271054,8500,2024-10-26 06:23:02,,2022-10-10,,0
153,OY14ZVM,,TOYOTA,Untaxed,Valid,,0,1497,,,HYBRID ELECTRIC,,,2024-01-05,,,YARIS HYBRID ICON + CVT,,WHITE,2014-05,,,,,,M1,,2 AXLE RIGID BODY,2014,1,79,TOYOTA,46000,8500,2024-10-26 06:25:41,,2024-08-27,2025-09-23,0
154,RE10KCK,,VOLVO,Untaxed,Valid,,0,2400,,,DIESEL,,,2024-10-25,,,XC60 S D DRIVE,,BLUE,2010-07,,,,,,M1,,2 AXLE RIGID BODY,2010,1,159,VOLVO,126878,3000,2024-10-26 06:26:44,,2024-09-07,2025-02-09,0
155,DV65GZL,,VAUXHALL,Taxed,Valid,,0,1598,,,DIESEL,,,2023-06-16,,,MOKKA EXCLUSIV CDTI ECOFLEX SS,,BLUE,2016-02,,,,,,M1,,2 AXLE RIGID BODY,2016,1,109,VAUXHALL,127591,3300,2024-10-28 03:29:23,,2025-06-01,2025-04-17,0
159,VE65OWM,,KIA,Untaxed,Valid,,0,1248,,,PETROL,,,2018-10-15,,,RIO SR7,,RED,2016-01,,,,,,M1,,2 AXLE RIGID BODY,2016,1,115,KIA,87000,4700,2024-11-02 07:56:46,,2024-07-26,2025-10-02,0
160,BG07XVR,,SUBARU,Untaxed,Valid,,0,1994,,,PETROL,,,2011-10-10,,,IMPREZA RX,,BLUE,2007-05,,,,,,M1,,2 AXLE RIGID BODY,2007,1,214,SUBARU,89000,3995,2024-11-02 08:41:43,,2024-02-15,2025-09-24,0
164,AF13LYV,,VAUXHALL,Taxed,Valid,,0,1686,,,DIESEL,,,2024-11-11,,,ZAFIRA EXCLUSIV CDTI EFLX,,GREY,2013-05,,,,,,M1,,2 AXLE RIGID BODY,2013,1,134,VAUXHALL,80080,2500,2024-11-13 10:16:51,,2025-11-01,2025-06-10,0
170,DA07KCU,,VOLKSWAGEN,Untaxed,Valid,,0,1896,,,DIESEL,,,2013-12-05,,,GOLF MATCH TDI 105,,BLUE,2007-06,,,,,,M1,,2 AXLE RIGID BODY,2007,1,132,VOLKSWAGEN,149837,1700,2024-11-23 06:10:20,,2024-09-01,2025-09-04,0
176,WP11KXK,,SKODA,Untaxed,Valid,,0,1595,,,PETROL,,,2024-12-10,,,OCTAVIA SE MPI,,GREY,2011-06,,,,,,M1,,2 AXLE RIGID BODY,2011,1,168,SKODA,106982,2800,2024-12-10 12:50:20,,2024-09-28,2025-11-19,0
184,CA61BVN,,FORD,Taxed,Valid,,0,1242,,,PETROL,,,2022-04-06,,,KA ZETEC,,SILVER,2011-12,,,,,,M1,,2 AXLE RIGID BODY,2011,1,115,FORD,89810,1700,2024-12-19 10:18:16,,2026-01-01,2025-07-09,0
185,LK10LLV,,HONDA,Taxed,Valid,,0,2199,,,DIESEL,,,2022-11-06,,,CR-V ES-T I-DTEC AUTO,,GREY,2010-03,,,,,,M1,,2 AXLE RIGID BODY,2010,1,195,HONDA,119070,3995,2024-12-21 04:58:37,,2025-10-01,2025-12-18,0
220,HN13YAX,,VOLKSWAGEN,Taxed,Valid,,0,1390,,,PETROL,,,2020-09-29,,,GOLF GT TSI S-A,,GREY,2013-07,,,,,,M1,,2 AXLE RIGID BODY,2013,1,148,VOLKSWAGEN,84826,5500,2025-03-11 05:53:08,,2026-03-01,2025-11-30,0
224,KS06ACJ,,PEUGEOT,Untaxed,Valid,,0,1997,,,DIESEL,,,2018-12-01,,,407 SE HDI,,GREY,2006-06,,,,,,M1,,2 AXLE RIGID BODY,2006,1,155,PEUGEOT,74884,1995,2025-03-24 07:03:23,,2024-11-12,2026-03-11,0
63,BV63NUX,,VOLVO V60,✗ Expired: 20 Mar 2024 61 days ago,✓ Expires: 27 Sep 2024 131 days left,NO,12403,1560 cc,,EURO 5,Diesel,,136433.0,13 April 2023,£45,No,V60 BUSINESS EDITION D2,V60,Red,2013.09.27,Birmingham,HIGH,£20,,,M1,10 Years 8 Months,2 AXLE RIGID BODY,2013,1,108 g/km (,VOLVO,139000,3500,2024-05-20 09:26:32,0.0,2024-03-20,2024-09-27,8
64,WP61VSJ,,SKODA YETI,✗ Expired: 15 Mar 2024 66 days ago,✓ Expires: 05 Jan 2025 231 days left,NO,7959,1968 cc,,EURO 5,Diesel,,95502.0,28 August 2014,£45,No,YETI ELEGANCE TDI CR 170,YETI,Blue,2012.01.05,Bristol,MEDIUM,£240,£132,,M1,12 Years 4 Months,2 AXLE RIGID BODY,2012,1,155 g/km (,SKODA,96000,5300,2024-05-20 09:30:58,0.0,2024-03-15,2025-01-05,4
74,RJ15DVN,,KIA RIO,✗ Expired: 20 Apr 2024 48 days ago,✓ Expires: 06 Jan 2025 214 days left,NO,10316,1396 cc,,EURO 6,Diesel,,92846.0,04 January 2018,£45,No,RIO 2 ISG CRDI,RIO,Black,2015.06.11,Reading,MEDIUM,£0,,,M1,9 Years 0 Months,2 AXLE RIGID BODY,2015,1,98 g/km (A,KIA,97039,4200,2024-06-07 05:41:29,0.0,2024-04-20,2025-01-06,10
76,VX63JVR,,FORD MONDEO,✓ Expires: 01 Jun 2025 356 days left,✓ Expires: 28 Sep 2024 111 days left,NO,9430,1997 cc,,EURO 5,Diesel,,103731.0,05 June 2024,£45,No,MONDEO ZETEC BUSINESS EDN TDCI,MONDEO,Black,2013.09.29,Worcester,MEDIUM,£35,,,M1,10 Years 9 Months,2 AXLE RIGID BODY,2013,1,120 g/km (,FORD,105000,3300,2024-06-10 04:48:11,0.0,2025-06-01,2024-09-28,9
79,JM06LAN,,FORD FOCUS,✗ Expired: 11 May 2024 47 days ago,✓ Expires: 11 Dec 2024 168 days left,NO,7949,999 cc,,EURO 6,Petrol,,71541.0,04 May 2024,£45,No,FOCUS ZETEC S,FOCUS,Black,2015.03.02,,MEDIUM,£20,,,M1,9 Years 3 Months,2 AXLE RIGID BODY,2015,1,108 g/km (,FORD,73000,5800,2024-06-27 02:03:13,0.0,2024-05-11,2024-12-11,18
